Id,Price
725,161278.05064408097
15856,219569.538431285
5480,215916.343371377
15664,354686.05227007414
14275,139614.27393559477
7633,209365.32694280145
13329,162659.11039642474
5502,213565.4731166706
4220,303405.8492643342
11538,210696.15047304938
15975,280335.3391895432
3310,220947.56557867856
9286,152870.10236784184
11260,187600.60307523885
5214,110479.95947596744
11307,170648.3062058956
13543,384560.60447938374
615,165130.98043946654
3495,196610.77137184478
2321,234920.6507467599
12046,192264.6381142877
16688,141604.32890740514
12694,219624.3116650958
783,148093.1006591334
8968,166170.32452644387
13454,175290.1705253421
12190,247142.8216911417
11160,127207.91061164941
10291,190667.89824686092
891,302464.4046121605
2982,183343.11315872453
3818,280743.97256916383
2449,187472.0091771354
8317,161775.167011884
4922,176135.34143282563
1257,240593.10806248288
9348,221444.57524669042
4176,181071.69545586884
10704,156068.8233522993
6624,116163.03021467933
5428,194756.8478873489
12749,190682.8736345874
8994,197298.4284774891
11513,139118.9186388286
3047,187594.1238068748
9519,183876.5835000026
12309,246672.97453906434
14081,250478.69597224097
8334,266075.46159012744
6343,174765.04916278698
14788,126237.94929618461
15748,424083.2533999585
153,249751.00448981463
14149,204007.20943367278
269,187838.81989375356
5452,112810.10405826694
721,168219.51520320692
5079,371619.5132619381
2831,122449.92007684808
10614,116263.41988672488
10131,251769.39777051602
9996,317767.6848886038
3061,191569.020446045
11733,352613.9329215207
3726,292519.42721371586
10929,212680.00758526675
9011,304840.8653441317
16182,296765.82189258473
4976,171432.6394471496
9897,243442.3952077951
1872,177191.6678249456
9205,477646.83211330784
5403,416523.43827265484
14074,198193.52586563127
6268,152043.98875135227
14232,171636.13915867513
8532,236557.56650828852
7034,335478.3557051578
6553,499674.24906984443
3133,172718.79948619934
8596,204597.86731820775
12389,241928.29514257872
14462,175860.54738932374
8860,320375.244159214
8377,264625.6010836637
6367,330919.0006531572
6917,239842.91848308142
4216,200337.629725517
5806,168475.64399519775
5438,178860.17408369895
6632,194002.93769830774
2650,146146.33417038177
5396,204661.62897517905
4044,147602.2246631232
1345,237027.9171376029
856,174975.11312601692
12791,262088.81228726552
12499,214461.51406303787
12249,131771.5246929537
14641,155599.32195323118
1919,162446.21663896917
7848,186434.2210991901
10749,171975.9164692938
15554,198050.31636258186
15834,201425.8888229862
1355,172421.4557465081
15451,189300.39658127262
12401,193872.6659461613
10290,165465.5723542548
9462,136411.7952467143
3103,236259.473006339
3420,134567.24721253107
12262,237892.20712583428
5032,134584.07742255874
8949,283768.94282623316
15567,221534.26479143117
16389,155765.70942341504
7809,91472.42014848681
8990,157241.32974534025
16089,254861.71084119545
12743,112565.63741771561
5132,127906.07576660247
1619,267316.04182755796
2428,99116.46664480679
16741,164728.07729750135
13193,207239.962240481
12588,530556.6869767347
5067,170287.5718763594
14685,127151.00439149271
2292,179431.4194856303
5746,136190.30700323105
12578,159568.50027804004
14834,160766.2438649604
2147,174221.34574586042
8222,136589.68788677768
10419,268318.90168126783
11492,214739.11833298727
3006,229235.95600049972
8761,202108.7892556001
15371,373107.6624320499
16367,151499.23499606553
6317,282409.463938104
10878,252726.9859483349
3895,159371.09206511598
8041,223688.14534490518
13428,453505.0771505519
14669,150514.3249030423
1006,171221.92809451034
12271,178160.42921589356
3764,445903.0633642557
7675,195997.63286883096
11709,280712.3207382599
8629,163482.15805550068
1105,399790.0788249185
6096,176918.15532337673
11727,207574.6597365272
5157,184143.37602213654
3679,144180.55536781377
1755,157501.94456492527
7391,195464.4945921742
7425,110039.63136979504
6882,417216.87872918026
10752,362132.1641254448
7472,209859.851566435
14320,109948.67730121851
9596,160568.42874099265
5317,220879.6518070056
7378,87867.05576111181
16154,182993.803642999
3464,191437.15921615515
4197,223845.45312995565
9477,118670.79550772968
12705,197252.3110017665
16426,202997.33466912404
1481,76621.82977853176
9946,231785.13949850274
12025,215765.76942915397
5341,252467.60617091754
9923,289175.5480877022
7953,236344.0719127569
11066,221983.42603497647
5037,174537.91670712715
2509,182021.95543091948
4937,347397.10031715553
12089,421784.1163843073
4964,169743.3990757365
16500,263854.9304082731
4625,143113.1438592413
2363,377082.55684155057
8148,199079.93329937715
3804,178407.07075883113
4584,165720.2815813688
10694,126088.09789933689
2691,174062.4378402952
2983,216784.01565141653
13563,357927.055860574
10747,218270.3897310572
1721,200661.74409833984
2789,253046.49242265674
7214,244924.65262824763
8659,237083.14227233964
5107,307235.9807866938
3843,214655.47006116493
14610,431234.3372366085
15505,162250.91832353358
5060,229035.5627937329
16055,240502.20514902403
14963,214799.8442705021
4118,136569.9458027619
1672,183357.03025193606
3209,187032.38823390752
16515,139665.3532896023
973,173126.6737271688
12529,187022.71663255768
5896,123931.69469625539
5450,287248.17612953595
3249,185576.42639192255
8911,177225.19286981924
5898,223050.42909634166
1024,190673.64209946818
4766,204227.22471352425
15804,173991.1721670976
14303,209158.26319522737
10707,182499.71784126715
6605,216953.41871499072
1138,365578.079101013
14088,408418.34165013535
9154,181188.41473724088
8190,200557.6175954274
398,268108.8961479527
13302,268130.60666919255
9696,154569.649412902
16786,127129.00941651895
16230,199020.78228655813
6552,192613.914145033
923,210430.0213507631
9602,300222.13997343235
5857,259503.75696526628
8120,169081.9637914045
7134,185890.28871324484
11726,166302.22338022117
8069,130047.7128748808
12420,170626.63498776543
8604,180407.23492921295
4854,308255.52006769564
12212,189215.844235927
12099,295854.8988145565
3882,387074.8499106536
6995,335622.3660439874
10172,214095.29189857587
11672,288802.06169968
12897,276721.1604671514
16097,187890.23351349734
6779,255451.63664563192
11199,198477.5474751719
10816,297954.56833044207
143,383290.0452305578
5399,250283.92661735349
3286,153603.01763750354
13706,196721.00642994815
1935,390375.94288747513
16000,162672.99654447552
2860,207308.52230204357
11407,207810.18209160023
16378,254489.4937917315
12278,180373.05099858477
3842,161621.1945674824
2692,329911.9277875678
7699,205882.8514739892
6825,303223.4302624845
7268,351444.02178955945
1477,403714.9530158197
9887,165702.71850332315
9436,184761.6176723906
3179,233952.22545807817
1350,492533.7295179702
10643,209510.0437414132
5793,286197.78067040996
11494,474838.45811872504
4206,192683.22260025842
12419,239534.44905765553
8530,223824.98640643066
5985,169188.30777197352
8908,209821.66543614893
256,128545.6213870999
